atac.label,Donor
ATAC_055,55650-0055
ATAC_057,55650-0057
ATAC_132D0,55650-0132d0
ATAC_52,55650-0052
ATAC_555_1,28205-0555d0
ATAC_555_2,28205-0555d2
ATAC_556,28205-0556
ATAC_557,28205-0557
ATAC_558,28205-0558
ATAC_559,28205-0559
ATAC_560,28205-0560
ATAC_564A,28205-0564d0
ATAC_564B,28205-0564d2
ATAC_66D0,55650-0066d0
ATAC_66D7,55650-0066d7
ATAC_67,55650-0067
ATAC_83,55650-0083
ATAC_86,55650-0086
ATAC_EV08,EV08
ATAC_HIP02_frozen,HIP002
ATAC_HIP023_frozen,HIP023
ATAC_HIP043,HIP043
ATAC_HIP044,HIP044
ATAC_HIP045,HIP045
ATAC_HIP15_frozen,HIP015