record_id,ben_TSS_cutoff,ben_log10frags_cutoff,bei_tss_cutoff,bei_log10frags_cutoff,subjective_quality,is_fresh,omit_from_analysis,Notes
HIP022,10,3,10,3,great,TRUE,,
55650-0055,8,3.7,7,3.7,good,,,
55650-0057,8,3.7,7,3.5,okay,,,
55650-0132d0,8,3.8,7,3.8,good,,,
HIP046,10,3.1,10,3.1,great,TRUE,,
55650-0052,10,3.8,8,3.7,okay,,,
28205-0555d0,8,3.6,7,3.6,good,,,
28205-0555d2,8,3.8,7,3.8,okay,,,
28205-0556,10,3.5,8,3.5,good,,,
28205-0557,7,3.5,6,3.5,okay,,,
28205-0558,10,3.2,8,3.2,good,,,
28205-0559,8,3.2,7,3.2,good,,,BW:Batch Effect; consider Omitting
28205-0560,5,3.5,5,3.5,poor,,,
28205-0564d0,8,3.9,6,3.7,okay,,,
28205-0564d2,8,3.5,6,3.5,poor,,,
55650-0066d0,7,4,7,3.8,good,,,
55650-0066d7,8,3.7,8,3.6,good,,,
55650-0067,8,3.7,8,3.6,good,,,
55650-0080,10,3.7,10,3.5,okay,TRUE,,
55650-0083,8,3.9,6,3.7,good,,,
55650-0085,10,4,10,3.7,okay,TRUE,,
55650-0086,8,4.1,8,3.8,poor,,,
EC003,8,3.6,8,3.6,good,,,
EV08,8,3.8,6,3.8,good,,,BW:Control sample
HIP043,10,3.5,10,3.5,good,,,
HIP045,10,3.6,10,3.6,great,,,
HIP015,8,3.5,8,3.5,good,,,
55689-0006,7,3.5,6,3.5,okay,,,
55689-0040,10,3.6,8,3.6,good,,,
55689-0056,10,3.9,10,3.9,great,TRUE,,
55689-0057,10,3.7,10,3.7,great,TRUE,,
55689-0058,10,3.6,10,3.6,great,TRUE,,
55689-0059,10,3.5,10,3.5,great,TRUE,,
55689-0060,10,3.6,10,3.6,great,TRUE,,
HIP015,7,3.5,6,3.5,good,,,
HIP044,7,3.5,6,3.5,good,,,
HIP002,10,3.5,10,3.5,good,TRUE,,
HIP002,7,3.5,6,3.5,okay,,,
HIP015,10,3.5,8,3.5,good,TRUE,,
HIP023,8,3.5,7,3.5,good,,,