Sample:,%T,%MAIT/T
export_070820_covid_Ligand_1_4_EV07_00_normalized_A_Live.fcs,54.3,1.78
export_070820_covid_Ligand_1_4_EV07_00_normalized_B_Live.fcs,74.8,6.03
export_070820_covid_Ligand_1_4_EV07_00_normalized_D_Live.fcs,58.8,4.04
export_070820_covid_Ligand_1_4_EV07_00_normalized_E_Live.fcs,66,4.09
export_070820_covid_Ligand_1_4_EV07_00_normalized_F_Live.fcs,45.6,14.3
export_070820_covid_Ligand_1_4_EV07_00_normalized_Unassigned_Live.fcs,52.5,3.19
export_070820_covid_Ligand_5_8_EV07_01_normalized_A_Live.fcs,63.8,1.02
export_070820_covid_Ligand_5_8_EV07_01_normalized_B_Live.fcs,63.4,0.6
export_070820_covid_Ligand_5_8_EV07_01_normalized_D_Live.fcs,53.9,1.84
export_070820_covid_Ligand_5_8_EV07_01_normalized_E_Live.fcs,57.1,1.2
export_070820_covid_Ligand_5_8_EV07_01_normalized_F_Live.fcs,48.4,12.7
export_070820_covid_Ligand_5_8_EV07_01_normalized_Unassigned_Live.fcs,43.2,2.16
export_070820_covid_Ligand_9_12_EV07_00_normalized_A_Live.fcs,49.7,4.51
export_070820_covid_Ligand_9_12_EV07_00_normalized_B_Live.fcs,53.3,4.51
export_070820_covid_Ligand_9_12_EV07_00_normalized_D_Live.fcs,57.5,5.07
export_070820_covid_Ligand_9_12_EV07_00_normalized_E_Live.fcs,52.9,3.78
export_070820_covid_Ligand_9_12_EV07_00_normalized_F_Live.fcs,47.9,13.7
export_070820_covid_Ligand_9_12_EV07_00_normalized_Unassigned_Live.fcs,42,4.14
export_071620_COVID_Ligand_13_17_EV08_07_normalized_A_Live.fcs,68.4,1.03
export_071620_COVID_Ligand_13_17_EV08_07_normalized_B_Live.fcs,64.4,2.47
export_071620_COVID_Ligand_13_17_EV08_07_normalized_C_Live.fcs,54.8,0.28
export_071620_COVID_Ligand_13_17_EV08_07_normalized_D_Live.fcs,63.5,0.5
export_071620_COVID_Ligand_13_17_EV08_07_normalized_E_Live.fcs,36.8,0.73
export_071620_COVID_Ligand_13_17_EV08_07_normalized_F_Live.fcs,39.7,1.83
export_071620_COVID_Ligand_13_17_EV08_07_normalized_Unassigned_Live.fcs,40.2,0.61
export_071620_COVID_Ligand_18_22_EV08_07_normalized_A_Live.fcs,71.8,1.58
export_071620_COVID_Ligand_18_22_EV08_07_normalized_B_Live.fcs,13.4,1.4
export_071620_COVID_Ligand_18_22_EV08_07_normalized_D_Live.fcs,68.7,3.86
export_071620_COVID_Ligand_18_22_EV08_07_normalized_E_Live.fcs,50.5,1.66
export_071620_COVID_Ligand_18_22_EV08_07_normalized_F_Live.fcs,40.8,1.74
export_071620_COVID_Ligand_18_22_EV08_07_normalized_Unassigned_Live.fcs,34.3,1.29
export_071620_COVID_Ligand_23_27_EV08_07_normalized_A_Live.fcs,64.3,1.17
export_071620_COVID_Ligand_23_27_EV08_07_normalized_C_Live.fcs,68,1.55
export_071620_COVID_Ligand_23_27_EV08_07_normalized_D_Live.fcs,65.8,1.01
export_071620_COVID_Ligand_23_27_EV08_07_normalized_E_Live.fcs,44.3,1.36
export_071620_COVID_Ligand_23_27_EV08_07_normalized_F_Live.fcs,43.3,1.81
export_071620_COVID_Ligand_23_27_EV08_07_normalized_Unassigned_Live.fcs,33.6,1.27
export_071720_COVID_Ligand_28_32_EV08_07_normalized_A_Live.fcs,74.4,0.43
export_071720_COVID_Ligand_28_32_EV08_07_normalized_B_Live.fcs,67.4,0.22
export_071720_COVID_Ligand_28_32_EV08_07_normalized_C_Live.fcs,68.2,0.71
export_071720_COVID_Ligand_28_32_EV08_07_normalized_D_Live.fcs,31.1,2.55
export_071720_COVID_Ligand_28_32_EV08_07_normalized_E_Live.fcs,83,2.34
export_071720_COVID_Ligand_28_32_EV08_07_normalized_F_Live.fcs,48.9,2.05
export_071720_COVID_Ligand_28_32_EV08_07_normalized_Unassigned_Live.fcs,54.1,0.79
export_071720_COVID_Ligand_33_37_EV08_07_normalized_A_Live.fcs,23.6,1.38
export_071720_COVID_Ligand_33_37_EV08_07_normalized_B_Live.fcs,60.3,1.12
export_071720_COVID_Ligand_33_37_EV08_07_normalized_C_Live.fcs,81.8,3.48
export_071720_COVID_Ligand_33_37_EV08_07_normalized_D_Live.fcs,60.4,1.93
export_071720_COVID_Ligand_33_37_EV08_07_normalized_E_Live.fcs,74.3,0.34
export_071720_COVID_Ligand_33_37_EV08_07_normalized_F_Live.fcs,52.8,1.54
export_071720_COVID_Ligand_33_37_EV08_07_normalized_Unassigned_Live.fcs,48.5,0.79
export_071720_COVID_Ligand_38_42_EV08_08_normalized_A_Live.fcs,68.5,3.48
export_071720_COVID_Ligand_38_42_EV08_08_normalized_B_Live.fcs,72.6,3.23
export_071720_COVID_Ligand_38_42_EV08_08_normalized_C_Live.fcs,72.8,1.99
export_071720_COVID_Ligand_38_42_EV08_08_normalized_D_Live.fcs,55.9,1.49
export_071720_COVID_Ligand_38_42_EV08_08_normalized_E_Live.fcs,75.1,0.62
export_071720_COVID_Ligand_38_42_EV08_08_normalized_F_Live.fcs,47,1.59
export_071720_COVID_Ligand_38_42_EV08_08_normalized_Unassigned_Live.fcs,53.1,1.16
export_072220_COVID_Ligand_43_47_EV08_00_normalized_A_Live.fcs,30.8,0.2
export_072220_COVID_Ligand_43_47_EV08_00_normalized_B_Live.fcs,52.7,0.83
export_072220_COVID_Ligand_43_47_EV08_00_normalized_C_Live.fcs,15.1,0.14
export_072220_COVID_Ligand_43_47_EV08_00_normalized_D_Live.fcs,41.7,1.22
export_072220_COVID_Ligand_43_47_EV08_00_normalized_E_Live.fcs,75.4,2.5
export_072220_COVID_Ligand_43_47_EV08_00_normalized_F_Live.fcs,42.2,1.22
export_072220_COVID_Ligand_43_47_EV08_00_normalized_Unassigned_Live.fcs,42.9,1.36
export_072220_COVID_Ligand_48_52_EV08_00_normalized_A_Live.fcs,65.4,0.82
export_072220_COVID_Ligand_48_52_EV08_00_normalized_B_Live.fcs,56.5,0.9
export_072220_COVID_Ligand_48_52_EV08_00_normalized_C_Live.fcs,59,1.63
export_072220_COVID_Ligand_48_52_EV08_00_normalized_D_Live.fcs,48.7,0.37
export_072220_COVID_Ligand_48_52_EV08_00_normalized_E_Live.fcs,38.5,2.61
export_072220_COVID_Ligand_48_52_EV08_00_normalized_F_Live.fcs,45.5,1.13
export_072220_COVID_Ligand_48_52_EV08_00_normalized_Unassigned_Live.fcs,41.6,1.03
export_072220_COVID_Ligand_53_57_EV08_00_normalized_A_Live.fcs,69.5,0.17
export_072220_COVID_Ligand_53_57_EV08_00_normalized_B_Live.fcs,55.3,0.22
export_072220_COVID_Ligand_53_57_EV08_00_normalized_C_Live.fcs,42.9,0.82
export_072220_COVID_Ligand_53_57_EV08_00_normalized_D_Live.fcs,62.4,2.29
export_072220_COVID_Ligand_53_57_EV08_00_normalized_E_Live.fcs,59.9,2.67
export_072220_COVID_Ligand_53_57_EV08_00_normalized_F_Live.fcs,42.5,1.24
export_072220_COVID_Ligand_53_57_EV08_00_normalized_Unassigned_Live.fcs,48.3,0.76
export_072420_COVID_Ligand_58_62_EV08_00_normalized_A_Live.fcs,63.5,2.24
export_072420_COVID_Ligand_58_62_EV08_00_normalized_B_Live.fcs,45.4,1.99
export_072420_COVID_Ligand_58_62_EV08_00_normalized_C_Live.fcs,48.6,2.4
export_072420_COVID_Ligand_58_62_EV08_00_normalized_D_Live.fcs,38.4,1.63
export_072420_COVID_Ligand_58_62_EV08_00_normalized_E_Live.fcs,71.7,2.44
export_072420_COVID_Ligand_58_62_EV08_00_normalized_F_Live.fcs,40.9,1.56
export_072420_COVID_Ligand_58_62_EV08_00_normalized_Unassigned_Live.fcs,47.8,2.04
export_072420_COVID_Ligand_63_67_EV08_00_normalized_A_Live.fcs,75.9,2.53
export_072420_COVID_Ligand_63_67_EV08_00_normalized_B_Live.fcs,62.4,0.57
export_072420_COVID_Ligand_63_67_EV08_00_normalized_C_Live.fcs,48,0.16
export_072420_COVID_Ligand_63_67_EV08_00_normalized_E_Live.fcs,59.6,0.34
export_072420_COVID_Ligand_63_67_EV08_00_normalized_F_Live.fcs,39.6,1.77
export_072420_COVID_Ligand_63_67_EV08_00_normalized_Unassigned_Live.fcs,47.2,1.09
export_072420_COVID_Ligand_68_72_EV08_00 (1)_normalized_A_Live.fcs,57.3,0.37
export_072420_COVID_Ligand_68_72_EV08_00 (1)_normalized_B_Live.fcs,76.5,3.43
export_072420_COVID_Ligand_68_72_EV08_00 (1)_normalized_C_Live.fcs,63.7,0.68
export_072420_COVID_Ligand_68_72_EV08_00 (1)_normalized_E_Live.fcs,39.4,0.86
export_072420_COVID_Ligand_68_72_EV08_00 (1)_normalized_F_Live.fcs,39.6,1.63
export_072420_COVID_Ligand_68_72_EV08_00 (1)_normalized_Unassigned_Live.fcs,42.9,0.81
export_073120_COVID_Ligand_73_76_EV08_01 (1)_normalized_A_Live.fcs,58.7,9.48
export_073120_COVID_Ligand_73_76_EV08_01 (1)_normalized_B_Live.fcs,54.4,9.03
export_073120_COVID_Ligand_73_76_EV08_01 (1)_normalized_C_Live.fcs,40,7.86
export_073120_COVID_Ligand_73_76_EV08_01 (1)_normalized_E_Live.fcs,53.3,4.89
export_073120_COVID_Ligand_73_76_EV08_01 (1)_normalized_F_Live.fcs,45.5,1.5
export_073120_COVID_Ligand_73_76_EV08_01 (1)_normalized_Unassigned_Live.fcs,47.4,4.66
export_073120_COVID_Ligand_77_80_EV08_01 (1)_normalized_A_Live.fcs,64.9,1.8
export_073120_COVID_Ligand_77_80_EV08_01 (1)_normalized_B_Live.fcs,68.2,2.46
export_073120_COVID_Ligand_77_80_EV08_01 (1)_normalized_C_Live.fcs,64.2,2.02
export_073120_COVID_Ligand_77_80_EV08_01 (1)_normalized_E_Live.fcs,63,1.32
export_073120_COVID_Ligand_77_80_EV08_01 (1)_normalized_F_Live.fcs,47.1,1.27
export_073120_COVID_Ligand_77_80_EV08_01 (1)_normalized_Unassigned_Live.fcs,49.5,2.05
export_073120_COVID_Ligand_81_84_EV08_01_normalized_A_Live.fcs,62.9,1.12
export_073120_COVID_Ligand_81_84_EV08_01_normalized_C_Live.fcs,73.8,0.76
export_073120_COVID_Ligand_81_84_EV08_01_normalized_D_Live.fcs,65.5,0.78
export_073120_COVID_Ligand_81_84_EV08_01_normalized_E_Live.fcs,62.1,1.06
export_073120_COVID_Ligand_81_84_EV08_01_normalized_F_Live.fcs,53.3,1.5
export_073120_COVID_Ligand_81_84_EV08_01_normalized_Unassigned_Live.fcs,39.4,1.22
export_080320_COVID_Ligand_85_89_EV08_09_normalized_A_Live.fcs,74.3,0.37
export_080320_COVID_Ligand_85_89_EV08_09_normalized_B_Live.fcs,59.3,2.88
export_080320_COVID_Ligand_85_89_EV08_09_normalized_C_Live.fcs,53.6,2.79
export_080320_COVID_Ligand_85_89_EV08_09_normalized_E_Live.fcs,62.4,0.59
export_080320_COVID_Ligand_85_89_EV08_09_normalized_F_Live.fcs,40.5,1.5
export_080320_COVID_Ligand_85_89_EV08_09_normalized_Unassigned_Live.fcs,53.1,0.67
export_080320_COVID_Ligand_92_94_EV08_09_normalized_C_Live.fcs,51.1,0.54
export_080320_COVID_Ligand_92_94_EV08_09_normalized_D_Live.fcs,30.6,0.7
export_080320_COVID_Ligand_92_94_EV08_09_normalized_E_Live.fcs,40.1,0.98
export_080320_COVID_Ligand_92_94_EV08_09_normalized_F_Live.fcs,39.1,1.61
export_080320_COVID_Ligand_92_94_EV08_09_normalized_Unassigned_Live.fcs,45.2,0.64
export_080320_COVID_Ligand_95_99_EV08_09_normalized_A_Live.fcs,35.7,0.25
export_080320_COVID_Ligand_95_99_EV08_09_normalized_B_Live.fcs,62.7,1.03
export_080320_COVID_Ligand_95_99_EV08_09_normalized_C_Live.fcs,44.7,1.42
export_080320_COVID_Ligand_95_99_EV08_09_normalized_D_Live.fcs,70.1,0.44
export_080320_COVID_Ligand_95_99_EV08_09_normalized_E_Live.fcs,37.4,6.68
export_080320_COVID_Ligand_95_99_EV08_09_normalized_F_Live.fcs,42,1.74
export_080320_COVID_Ligand_95_99_EV08_09_normalized_Unassigned_Live.fcs,49.8,1.93